sample,site,unit,dickinson,Qps,QpT,Qms,Qrv,Qrm,Qrg,Kor,Kan,Kpg,Kmi,Kp,Krg,Krm,Krv,Ps,Pmy,Ptw,Prg,Prm,Prv,As,Atw,Arg,Arm,Arv,Lcmif,Lcmir,Lcmic,Lcmich,Lcmi,Lssc,Lcsf,Lcs,Lch,Lchb,Lss,Lsp,Lvf,Lva,Lvg,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,Sed,Gra,Volc,Met,C,Ap,Gr,Hb,Px,Rt,St,Zr,Mb,Mm,Mrg,Mrm,Chl,Gl,Op,Ph,Si,AR,Bz,Sh,Das,Ech,Fc,Md,Oo,Ra,Se,Fph,Pore,provenance
JR1,carrière inférieure de Saxel,VS,337,39,1,189,0,0,14,10,37,1,0,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,19,9,3,1,85,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,4,0,0,0,0,1,3,0,0,0,0,3,quartzose
JR2,carrière de Bons,VS,329,6,0,193,0,0,2,3,46,0,0,0,1,0,0,54,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,3,1,0,226,0,0,0,0,0,1,1,3,1,0,0,0,11,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,quartzose
JR3,carrière de Bons,VS,313,8,0,188,0,0,8,0,29,1,0,0,0,0,0,56,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,6,1,1,163,0,0,0,0,0,1,2,3,0,0,0,0,18,10,1,0,0,0,0,0,0,1,0,0,1,0,0,2,quartzose
JR4,carrière de Bons,VS,277,2,0,216,0,0,2,18,6,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,301,0,0,0,0,0,0,0,3,0,0,0,0,61,10,7,1,0,0,0,0,0,82,0,0,0,0,0,0,quartzose
JR5,carrière de Bons,VS,299,3,0,181,0,0,0,2,43,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,333,0,0,0,0,0,0,0,13,7,0,0,0,19,15,18,0,0,0,0,0,0,50,0,0,3,0,0,0,quartzose
JR6,carrière de Bons,VS,320,9,0,140,0,0,10,2,35,12,0,0,0,0,0,64,0,0,13,0,0,4,1,0,0,0,0,0,0,0,12,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,27,8,2,1,176,0,0,0,0,0,0,0,2,0,0,0,0,43,1,0,0,2,0,0,0,0,12,1,0,0,0,1,0,quartzose
JR7,carrière de Bons,VC,336,12,1,70,1,0,24,39,49,7,0,0,0,0,1,56,0,0,13,0,0,10,0,2,0,0,0,0,0,0,26,0,0,0,13,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,39,21,7,0,306,0,0,0,0,0,0,0,3,7,1,0,2,1,1,4,0,3,2,0,0,1,52,0,0,0,0,4,1,feldspathic
JR8,carrière de Bons,VS,321,0,0,266,0,0,0,4,16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,277,0,0,0,0,0,0,0,9,2,0,0,0,45,17,3,0,0,0,0,0,0,15,0,0,0,0,0,0,quartzose
JR9,carrière de Bons,VS,244,3,0,173,0,0,0,0,11,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,284,0,0,0,0,0,0,1,0,0,0,0,0,9,3,20,0,1,0,0,0,0,47,0,0,0,0,0,0,quartzose
JR10,carrière de Bons,VS,322,17,0,143,0,0,10,42,21,0,0,0,4,0,0,54,0,0,6,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,230,0,0,0,0,0,0,1,7,0,0,0,0,15,2,10,1,0,0,0,0,0,24,0,0,0,0,0,0,quartzose
JR11,carrière inférieure de Saxel,VS,314,58,5,170,0,0,11,0,18,4,0,0,0,0,0,17,0,0,9,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,17,9,2,8,29,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,3,1,0,0,0,1,1,0,0,0,0,7,quartzose
JR12,carrière inférieure de Saxel,VS,299,3,0,168,0,0,1,3,48,0,0,0,0,0,0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,362,0,0,0,0,0,0,3,1,3,0,0,0,9,4,12,2,2,0,0,0,0,11,0,0,8,0,0,0,quartzose
JR13,carrière inférieure de Saxel,VS,319,42,1,178,0,0,12,21,20,0,0,0,1,0,4,8,0,0,15,0,0,4,0,1,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,10,1,1,164,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,2,2,0,0,0,0,1,quartzose
JR14,carrière inférieure de Saxel,VS,321,1,0,231,0,0,0,0,16,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,450,0,0,0,0,0,1,1,4,0,0,0,0,10,1,7,0,0,1,0,0,0,2,1,0,0,0,0,2,quartzose
JR15,carrière inférieure de Saxel,VS,304,12,1,185,0,0,7,1,33,0,0,0,0,0,0,26,0,0,9,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,1,378,0,0,0,0,0,0,0,0,0,2,0,0,6,2,6,0,4,0,0,0,0,8,7,0,16,0,0,1,quartzose
JR16,carrière supérieure de Saxel,VS,317,30,7,56,0,0,41,14,13,28,0,0,11,0,0,35,0,2,54,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,6,0,1,0,2,0,2,0,0,0,0,0,7,27,6,12,5,0,0,0,0,0,0,0,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,feldspathic
JR17a,carrière supérieure de Saxel,VS,330,8,0,165,0,0,9,21,34,0,0,0,0,0,0,44,0,1,9,0,0,12,0,1,0,0,0,0,0,0,19,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,23,10,2,0,223,0,0,0,0,0,0,1,3,0,0,0,0,4,2,4,0,0,0,0,0,0,5,0,0,0,0,1,0,quartzose
JR18,carrière supérieure de Saxel,VC,328,27,4,57,0,0,52,25,11,19,0,0,26,0,0,44,0,0,38,1,1,3,2,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0,4,38,6,4,51,0,0,0,0,0,0,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,feldspathic
JR19,carrière supérieure de Saxel,VC,300,25,3,68,0,0,47,44,3,1,0,0,0,3,0,37,0,3,20,1,7,6,2,4,0,0,1,0,0,0,11,0,0,0,1,0,0,0,6,0,6,0,0,0,0,2,0,0,1,0,0,0,13,32,6,4,126,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,1,0,0,0,1,17,0,0,0,0,0,7,feldspathic
JR20a,carrière supérieure de Saxel,VC,323,8,0,59,0,0,21,49,9,20,1,0,14,0,6,76,0,5,21,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,15,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,16,20,8,0,135,0,0,0,0,0,0,1,6,5,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,feldspathic
JR21,carrière supérieure de Saxel,VC,320,11,1,86,1,0,40,2,63,0,0,0,41,0,1,28,0,5,6,0,0,3,0,1,0,0,0,0,0,0,20,0,0,0,6,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,28,26,1,2,126,0,0,0,0,0,0,0,5,6,2,0,0,6,0,1,0,6,0,1,0,0,12,1,0,1,0,0,10,feldspathic
JR22,Allinges,AS,318,41,1,164,0,0,4,13,2,32,0,0,1,0,0,47,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,1,14,0,0,0,0,0,0,0,0,1,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,quartzose
