sample,site,unit,dickinson,Qps,QpT,Qms,Qrv,Qrm,Qrg,Kor,Kan,Kpg,Kmi,Kp,Krg,Krm,Krv,Ps,Pmy,Ptw,Prg,Prm,Prv,As,Atw,Arg,Arm,Arv,Lcmif,Lcmir,Lcmic,Lcmich,Lcmi,Lssc,Lcsf,Lcs,Lch,Lchb,Lss,Lsp,Lvf,Lva,Lvg,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,Sed,Gra,Volc,Met,C,Ap,Gr,Hb,Px,Rt,St,Zr,Mb,Mm,Mrg,Mrm,Chl,Gl,Op,Ph,Si,AR,Bz,Sh,Das,Ech,Fc,Md,Oo,Ra,Se,Fph,Pore,provenance
JR139,nant de la Combe Ecuer,BS,304,0,0,217,0,0,0,19,29,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,312,0,0,0,0,0,0,0,1,7,0,0,0,14,4,1,0,0,0,0,0,0,2,0,0,4,0,0,2,quartzose
JR140,Granges Gaillard 1,VC,307,34,8,31,0,1,62,3,1,31,0,0,32,5,0,26,0,3,43,2,2,2,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,3,48,4,10,47,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,7,feldspathic
JR141,Granges Gaillard 1,VC,294,22,2,33,4,0,65,10,22,0,3,1,38,0,0,28,0,0,46,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,10,41,5,5,101,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,7,feldspathic
JR142,D50,VC,368,0,3,58,1,0,92,40,7,2,0,0,24,6,0,44,0,2,79,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,3,2,0,0,0,1,0,0,0,0,0,0,2,21,21,5,0,0,0,0,0,0,0,0,17,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,feldspathic
JR143,D50,VC,305,25,1,94,1,0,20,0,21,38,0,0,7,0,2,61,1,0,16,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,3,24,3,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,feldspathic
JR144,la Coterie,VS,332,51,0,204,0,0,1,1,20,7,0,0,1,0,0,22,0,0,2,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,1,0,0,0,10,2,0,0,0,0,15,quartzose
JR145,Crête des Voirons 2,VS,332,15,4,231,0,0,6,28,1,0,0,0,5,0,0,10,0,0,2,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,4,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,24,4,2,4,314,0,0,0,1,0,0,0,2,0,0,0,0,6,0,3,0,1,0,1,0,6,12,10,0,1,0,0,1,quartzose
JR146,Crête des Voirons 2,VS,305,19,7,214,0,0,7,19,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,3,1,0,0,12,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,1,202,0,0,0,0,0,0,0,0,8,0,0,0,7,1,0,0,2,0,0,0,0,5,5,0,0,0,0,28,quartzose
JR147,Crête des Voirons 2,VS,320,28,3,196,0,0,20,19,12,5,0,0,1,0,0,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,178,0,1,0,0,0,0,0,1,1,0,0,0,8,3,1,0,3,0,0,1,0,3,5,0,0,0,0,14,quartzose
JR148,Crête des Voirons 2,VS,282,6,1,194,5,0,3,29,2,4,0,0,3,0,0,10,0,0,2,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,1,1,265,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,3,0,0,0,2,3,8,0,0,0,0,2,quartzose
