################# General info,,,,,,,,,,,,,,,,,,,,,
"# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex, Chablais Prealps, France)",,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition and major statistical results of the grain-size distribution,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,QFm,QFr,L,Lc,C,D,M,Glt,Other,Ph,Fc,RA,Bc,Pore,lithofacies,mean,sorting,skewness,kurtosis
JR14,carrière inférieure de Saxel,VS,301,0.001,10,10,450,2,4,10,1,7,2,0.001,2,2,L5,3.62092478381344,0.553772591188788,-0.357553676462652,3.31855732710202
JR140,Granges Gaillard 1,VC,139,158,10,0.001,47,0.001,7,0.001,1,0.001,0.001,1,1,7,L2,1.45849458818927,1.22096508089338,-0.382582962405761,2.76719521916356
JR141,Granges Gaillard 1,VC,121,157,16,0.001,101,0.001,4,0.001,1,0.001,5,2,0.001,7,L2,1.23514757504294,0.788925390443368,-0.639638264329744,3.88561105366659
JR142,D50,VC,156,203,9,0.001,0.001,0.001,20,1,0.001,0.001,1,0.001,0.001,31,L1,1.1868207725946,1.23202256330813,-0.505248058143065,2.31131444757235
JR143,D50,VC,244,48,13,0.001,0.001,0.001,10,0.001,1,0.001,0.001,0.001,0.001,60,L1,NA,NA,NA,NA
JR144,la Coterie,VS,305,4,3,20,137,0.001,0.001,5,1,1,10,1,3,15,L4,2.76117306308202,1.20063437931346,0.0337754397271233,2.35221631940677
JR145,Crête des Voirons 2,VS,291,13,10,18,314,1,2,6,0.001,3,12,1,18,1,L2,2.59216084272404,0.974346876782981,-0.267840481051001,2.3511173853736
JR146,Crête des Voirons 2,VS,266,8,15,16,202,0.001,8,7,1,0.001,5,2,5,28,L3,2.4362196523159,0.888859434141539,-0.403832622027445,3.47546442854113
JR147,Crête des Voirons 2,VS,272,29,6,13,178,1,2,8,3,1,3,3,6,14,L4,2.44413404636534,1.07422358483775,-0.350244421739581,3.20693824673142
JR148,Crête des Voirons 2,VS,246,13,6,17,265,2,0.001,2,0.001,1,3,3,10,2,L4,2.49826141571372,0.886385356918375,-0.0599044517430443,2.69542538740326
JR149,Crête des Voirons 2,VS,264,10,12,18,192,1,1,1,1,1,1,14,1,37,L4,1.61638535949819,1.03418264542524,-0.565541521307068,3.32403755488738
JR15,carrière inférieure de Saxel,VS,258,16,3,27,378,0.001,2,6,2,6,8,4,23,1,L4,3.0248887486719,0.68950022755713,-0.264717727519554,2.98141673291982
JR150,Crête des Voirons 3,VS,210,9,6,34,287,1,1,8,1,3,12,3,6,2,L4,3.02055870139326,0.774060792435582,-0.179958211689949,2.52341006587029
JR151,Crête des Voirons 3,VS,280,4,1,29,167,0.001,0.001,0.001,0.001,0.001,2,1,3,3,L4,2.50695699171098,0.883120439669863,0.453261157742659,3.04441694537609
JR152,Crête des Voirons 3,VS,130,0.001,2,56,292,0.001,4,12,1,5,59,45,5,1,L5,3.45720091873879,0.601485969211518,0.105520715379798,3.93672427128259
JR153,Crête des Voirons 3,VS,290,13,6,18,112,1,2,3,1,0.001,4,5,2,9,L3,2.12174245316094,0.960270349801999,0.0756473285093887,2.42036110523844
JR154,Saut de la Pucelle,VS,240,7,6,32,308,3,4,12,3,9,2,0.001,5,4,L5,3.54208663816289,0.537731945932749,0.152787617671897,2.63385323845312
JR155,Saut de la Pucelle,VS,212,3,5,18,327,1,5,6,4,4,9,3,8,2,L4,3.64239813334831,0.607072129796549,0.231004918934312,3.26315842095172
JR156,Saut de la Pucelle,VS,267,30,3,4,140,0.001,4,4,3,3,5,2,13,2,L4,2.95139081143089,1.0363877019932,-0.205936932101195,2.19409780466353
JR157,Saut de la Pucelle,VS,291,13,4,18,280,3,1,8,3,2,2,1,7,16,L4,3.22992010621501,0.9778292969368,-0.289986365527198,2.60016531276348
JR158,Saut de la Pucelle,VS,273,26,4,18,243,2,4,6,3,3,3,2,5,6,L4,3.19145341810909,0.952460043081121,-0.354684155414198,2.28809525184471
JR159,Saut de la Pucelle,VS,229,55,9,24,251,0.001,6,7,2,1,5,39,1,7,L4,1.6829859776507,0.803206074807027,-0.407474430262715,4.13780396596975
JR16,carrière supérieure de Saxel,VS,188,109,19,1,5,0.001,9,1,0.001,0.001,0.001,0.001,0.001,16,L2,1.33315409279346,0.609401636430303,-0.501327979301374,3.50432669887901
JR160,Crête des Voirons 4,VS,309,7,5,0.001,0.001,0.001,0.001,2,1,0.001,0.001,0.001,0.001,83,L1,1.70722746756305,0.808060891271652,0.368374094436934,2.7333403144328
JR161,Crête des Voirons 4,VS,288,18,13,0.001,0.001,2,1,6,0.001,0.001,0.001,0.001,0.001,82,L1,1.85586037293963,0.868463237749547,0.0116877797116433,3.12950145195848
JR162,Crête des Voirons 4,VS,301,10,8,0.001,0.001,0.001,1,3,2,0.001,0.001,0.001,0.001,44,L1,1.70654136487304,0.690742566345792,0.0732218445817695,2.78454544191403
JR163,Crête des Voirons 6,VS,286,9,9,0.001,0.001,0.001,2,4,0.001,0.001,0.001,0.001,0.001,81,L1,NA,NA,NA,NA
JR164,Crête des Voirons 6,VS,295,8,9,0.001,0.001,1,2,0.001,1,0.001,0.001,0.001,0.001,109,L1,2.09237583849971,0.99340173438931,-0.436115115263289,3.66201058156639
JR165,Crête des Voirons 5,VS,271,45,18,19,263,0.001,2,4,0.001,1,6,39,2,6,L4,NA,NA,NA,NA
JR166,Crête des Voirons 5,VS,283,16,13,9,170,0.001,0.001,2,2,0.001,1,10,1,53,L4,1.52300770315072,0.773320442822793,0.154443209571606,2.77613315576612
JR167,Crête des Voirons 5,VS,263,27,14,9,81,0.001,1,0.001,3,1,1,12,3,5,L3,NA,NA,NA,NA
JR168,Crête des Voirons 5,VS,307,2,0.001,1,0.001,0.001,3,6,0.001,0.001,0.001,0.001,0.001,52,L1,1.99955771642633,0.756244020528504,0.189580694036257,2.62094883028667
JR169,Crête des Voirons 5,VS,248,56,8,11,241,0.001,2,4,0.001,0.001,5,12,1,1,L3,NA,NA,NA,NA
JR171,Crête des Voirons 5,VS,299,6,3,0.001,0.001,1,1,0.001,1,0.001,0.001,0.001,0.001,88,L1,NA,NA,NA,NA
JR173,pointe de Brantaz,VS,258,58,4,0.001,0.001,0.001,3,1,0.001,0.001,0.001,0.001,0.001,23,L1,NA,NA,NA,NA
JR175,Pralère,VS,288,18,4,4,51,0.001,0.001,7,0.001,0.001,4,0.001,0.001,4,L2,NA,NA,NA,NA
JR176,Pralère,VS,278,27,4,5,61,0.001,1,0.001,0.001,0.001,1,0.001,1,30,L2,1.85722468778026,0.932517808740088,0.625049001719422,2.96062805347042
