################# General info,,,,,,,,,,,,,,,,,,,,,
"# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex, Chablais Prealps, France)",,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition and major statistical results of the grain-size distribution,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,QFm,QFr,L,Lc,C,D,M,Glt,Other,Ph,Fc,RA,Bc,Pore,lithofacies,mean,sorting,skewness,kurtosis
JR274,carrière de Fillinges 2,VS,210,81,11,1,13,0.001,3,2,0.001,1,0.001,7,1,35,L3,1.94142927252878,0.742014745559184,0.433815673141909,3.40670230973923
JR275,carrière de Fillinges 2,VS,240,65,4,3,9,0.001,0.001,0.001,0.001,0.001,0.001,13,0.001,76,L3,2.12366457696195,0.662635592259352,-0.225095502428817,3.27523885205241
JR276,carrière de Fillinges 2,VS,280,29,6,13,203,0.001,3,8,0.001,4,8,24,4,1,L4,2.72319804840565,0.703409306401073,0.275692822438157,3.93686569685482
JR277,carrière de Fillinges 2,VS,247,55,16,4,100,0.001,0.001,2,2,0.001,2,17,3,4,L4,2.18983165897181,1.07109554959525,-0.307965189132676,3.35575885538178
JR278,torrent Chez le Merizier,BM,303,2,3,7,235,0.001,5,1,8,41,25,12,3,5,L4,NA,NA,NA,NA
JR279,torrent Chez le Merizier,BM,286,2,4,18,148,0.001,3,1,9,15,1,1,1,0.001,L5,3.26092183318187,0.493617683332995,0.315844305120335,4.06918431152995
JR280,torrent Chez le Merizier,BM,254,9,5,36,122,1,13,4,1,15,10,7,3,1,L4,2.98843166674005,0.569189091765538,0.190661177734595,3.06729763719739
JR281,torrent Chez le Merizier,BM,296,0.001,4,17,123,1,4,1,6,4,1,3,2,0.001,L5,2.97383504407644,0.761720856695251,0.419660146108375,3.2071982262624
JR282,torrent Chez Rollin,BM,294,7,5,12,130,1,1,2,1,4,1,2,0.001,0.001,L5,2.82320726673362,0.66379153173747,0.807041413678039,4.01709192312205
JR283,torrent Chez Rollin,BM,250,13,5,73,270,1,5,5,14,76,28,13,2,0.001,L5,2.81807124872655,0.702646754436316,1.20484678206012,7.02937823185886
JR284,torrent Chez Rollin,BM,270,26,1,22,89,0.001,2,2,1,7,8,4,3,2,L4,2.52970827113286,0.795157483355296,0.6594496967704,3.2655267866572
JR285,nant des Manants,VC,247,47,15,2,141,0.001,7,9,0.001,0.001,1,0.001,0.001,8,L2,2.52101341847559,0.556340478401089,0.219148440668142,2.87138268872392
JR288,Rocher d'escalade,VS,276,27,6,7,105,0.001,3,2,1,1,0.001,0.001,2,0.001,L5,2.12040486220051,0.962006115742457,-0.00793689072628028,2.69049240992424
JR293,torrent de Carraz,BS,207,2,0.001,2,284,0.001,1,6,17,8,37,0.001,0.001,3,L5,NA,NA,NA,NA
JR294,les Grands Bois 1,VC,254,42,19,3,219,1,13,6,0.001,0.001,19,4,2,1,L3,3.01741696655365,0.81386420613255,-0.390291533265804,2.79023613600732
JR295,les Grands Bois 1,VS,213,2,0.001,25,290,0.001,10,22,4,47,32,2,1,0.001,L5,3.90051953208695,0.546124755908707,-0.0912131227625679,2.95591569278703
JR297,les Grands Bois 1,VS,190,2,2,2,318,0.001,3,5,11,19,31,0.001,2,1,L5,NA,NA,NA,NA
JR298,les Grands Bois 1,VS,235,2,2,19,279,0.001,1,10,1,27,33,0.001,0.001,1,L5,3.89310053518013,0.56588867466276,0.619959119425592,3.55561258698697
JR299,les Grands Bois 1,VS,241,0.001,1,0.001,319,2,3,11,2,37,27,0.001,0.001,1,L5,4.31835853582157,0.589648005703546,-1.12230043142936,7.05279346252063
JR3,carrière de Bons,VS,282,17,6,8,163,3,3,18,10,1,1,0.001,1,2,L5,3.21968813140699,0.605828242834972,0.380325751086511,2.58469352374322
JR300,Grande Combe,BS,302,13,2,2,167,0.001,2,3,1,1,0.001,0.001,0.001,4,L2,NA,NA,NA,NA
JR302,Grange Sauthier,BM,280,17,3,0.001,58,0.001,2,0.001,0.001,0.001,1,0.001,0.001,82,L2,NA,NA,NA,NA
JR303,Saut de la Pucelle,VS,297,4,8,6,326,0.001,3,3,2,6,7,0.001,2,0.001,L5,NA,NA,NA,NA
JR305,Rau Bruan,BS,302,2,0.001,0.001,260,0.001,15,0.001,35,12,6,0.001,0.001,0.001,L5,NA,NA,NA,NA
JR306,Rau Bruan,BS,307,0.001,2,2,138,0.001,1,2,1,1,2,1,3,16,L5,NA,NA,NA,NA
JR307,Rau Bruan,BS,265,37,10,3,79,0.001,13,0.001,0.001,0.001,0.001,29,1,21,L3,NA,NA,NA,NA
JR308,Rau Bruan,BS,294,4,1,5,291,0.001,0.001,10,2,5,7,0.001,0.001,1,L4,NA,NA,NA,NA
JR311,torrent Chez Rollin,BM,296,16,1,11,94,1,4,2,2,2,0.001,0.001,1,2,L5,NA,NA,NA,NA
JR312,carrière de Fillinges 1,VS,275,27,3,7,132,0.001,3,7,2,0.001,1,4,3,0.001,L5,NA,NA,NA,NA
JR313,carrière de Fillinges 1,VS,285,17,2,10,121,0.001,2,1,3,8,0.001,2,1,0.001,L5,NA,NA,NA,NA
JR314,carrière de Fillinges 1,VC,147,143,11,2,87,0.001,12,1,1,0.001,2,24,3,14,L3,NA,NA,NA,NA
JR315,torrent de Chauffemérande,BM,207,118,7,0.001,117,1,9,1,1,0.001,3,0.001,0.001,5,L2,NA,NA,NA,NA
JR316,torrent de Chauffemérande,BM,116,172,3,0.001,0.001,0.001,5,0.001,0.001,0.001,0.001,0.001,0.001,11,L1,NA,NA,NA,NA
JR317,torrent de Chauffemérande,BM,111,176,9,4,48,0.001,6,0.001,0.001,0.001,1,0.001,0.001,2,L2,NA,NA,NA,NA
JR318,torrent de Chauffemérande,BM,264,35,4,1,103,0.001,9,2,0.001,13,12,3,1,5,L4,NA,NA,NA,NA
JR32,torrent de Saxel,BM,293,13,5,22,178,1,4,5,0.001,1,7,3,1,0.001,L5,2.9589115382664,0.821042715721422,0.537678628733391,2.6471354289862
JR320,carrière des Châteaux,VS,243,61,4,3,58,0.001,1,0.001,0.001,0.001,0.001,0.001,3,22,L2,NA,NA,NA,NA
JR321,carrière des Châteaux,VS,257,48,1,1,43,0.001,3,0.001,3,0.001,1,0.001,1,12,L2,NA,NA,NA,NA
JR323,carrière des Châteaux,VS,283,31,6,13,196,1,7,0.001,2,0.001,12,2,3,2,L3,NA,NA,NA,NA
JR324,carrière des Châteaux,VS,252,55,5,0.001,66,0.001,4,0.001,0.001,0.001,1,1,1,18,L2,NA,NA,NA,NA
JR325,carrière des Châteaux,VS,252,49,8,3,57,0.001,1,0.001,0.001,0.001,1,0.001,1,26,L2,NA,NA,NA,NA
JR326,carrière des Châteaux,VS,246,49,2,0.001,92,1,4,0.001,0.001,0.001,2,1,0.001,9,L2,NA,NA,NA,NA
JR327,carrière des Châteaux,VS,262,43,7,5,64,0.001,3,0.001,0.001,0.001,0.001,0.001,1,17,L2,NA,NA,NA,NA
JR328,torrent de Chauffemérande,BM,311,5,2,2,184,1,1,3,3,13,5,2,0.001,14,L2,NA,NA,NA,NA
JR329,carrière des Châteaux,VS,272,28,2,0.001,82,0.001,3,1,0.001,0.001,1,0.001,0.001,1,L2,NA,NA,NA,NA
JR330,carrière des Châteaux,VS,271,28,1,1,64,0.001,1,0.001,0.001,0.001,1,0.001,0.001,7,L2,NA,NA,NA,NA
JR331,torrent de la Molertaz,VC,215,45,9,0.001,2,0.001,4,0.001,0.001,1,0.001,0.001,0.001,4,L2,NA,NA,NA,NA
JR333,Rocher d'escalade,VS,290,26,2,4,75,1,1,2,0.001,0.001,0.001,0.001,0.001,22,L2,NA,NA,NA,NA
JR338,carrière des Fayaux 1,Gu,307,4,4,0.001,121,0.001,2,1,0.001,2,0.001,0.001,0.001,0.001,L2,NA,NA,NA,NA
JR339,carrière des Fayaux 1,Gu,285,12,6,7,193,1,8,4,0.001,4,1,0.001,0.001,0.001,L5,NA,NA,NA,NA
JR340,carrière des Fayaux 1,Gu,233,78,11,4,1,0.001,7,0.001,0.001,65,0.001,1,0.001,8,L2,NA,NA,NA,NA
JR341,chemin du Château,VS,271,46,1,0.001,122,1,0.001,0.001,0.001,0.001,0.001,1,2,6,L2,NA,NA,NA,NA
JR345,Rocher d'escalade,VS,301,1,1,0.001,154,0.001,3,8,1,0.001,0.001,0.001,0.001,41,L2,NA,NA,NA,NA
JR346,Rocher d'escalade,VS,306,24,2,4,49,1,2,1,0.001,0.001,1,1,1,46,L3,NA,NA,NA,NA
JR348,torrent de la Molertaz,VC,238,61,16,4,215,0.001,10,13,3,0.001,24,1,1,2,L3,NA,NA,NA,NA
JR349,la Janière,VS,296,10,1,14,244,3,1,1,0.001,0.001,2,9,3,7,L3,NA,NA,NA,NA
JR350,torrent Combe Ecuer,BS,294,17,1,4,148,0.001,2,0.001,0.001,0.001,1,0.001,1,18,L2,NA,NA,NA,NA
JR354,nant des Manants,VC,214,142,17,1,141,0.001,4,2,0.001,0.001,2,0.001,0.001,6,L2,NA,NA,NA,NA
JR357,Zollhaus,Gu,271,5,1,5,426,0.001,3,3,6,0.001,1,3,0.001,1,L2,NA,NA,NA,NA
JR358,Zollhaus,Gu,301,2,1,1,359,0.001,3,8,140,4,8,0.001,0.001,1,L5,NA,NA,NA,NA
JR359,Zollhaus,Gu,251,60,10,3,193,0.001,0.001,4,0.001,0.001,7,35,4,0.001,L4,NA,NA,NA,NA
JR36,carrière inférieure de Saxel,VS,240,57,14,15,76,0.001,4,0.001,0.001,0.001,2,11,4,27,L3,1.59043412039901,0.872490527759876,-0.0733763552705731,2.95336343037538
JR360,Zollhaus,Gu,283,27,2,5,119,0.001,3,4,0.001,0.001,0.001,1,5,2,L3,NA,NA,NA,NA
JR365,carrière du Fenalet,VS,208,0.001,0.001,0.001,147,2,0.001,13,7,1,1,0.001,0.001,0.001,L5,NA,NA,NA,NA
JR366,carrière du Fenalet,VS,308,1,0.001,3,232,2,0.001,12,0.001,4,1,0.001,0.001,0.001,L5,NA,NA,NA,NA
JR367,carrière du Fenalet,VS,221,0.001,0.001,2,173,1,0.001,12,1,0.001,0.001,0.001,0.001,0.001,L5,NA,NA,NA,NA
JR368,torrent de Chauffemérande,BM,219,94,7,6,97,0.001,7,1,1,0.001,0.001,0.001,0.001,6,L2,NA,NA,NA,NA
JR369,nant des Manants,VS,280,25,0.001,9,156,1,1,3,2,0.001,2,0.001,0.001,3,L2,NA,NA,NA,NA
JR37,carrière inférieure de Saxel,VS,260,54,9,12,109,0.001,0.001,2,0.001,2,2,9,9,8,L4,1.74224170231718,0.924776610255089,-0.308386948233625,4.00038098390728
JR370,torrent de Chauffemérande,BM,300,3,2,3,169,0.001,1,0.001,3,25,3,3,0.001,5,L2,NA,NA,NA,NA
JR371,torrent de Chauffemérande,BM,113,196,7,0.001,102,1,5,0.001,0.001,0.001,0.001,0.001,0.001,6,L2,NA,NA,NA,NA
JR372,Grotte aux Loups,VC,117,107,12,3,37,0.001,4,0.001,0.001,0.001,1,0.001,1,1,L2,NA,NA,NA,NA
JR373,Grotte aux Loups,VC,200,90,9,2,32,0.001,6,0.001,1,0.001,0.001,1,1,3,L3,NA,NA,NA,NA
JR374,Grotte aux Loups,VC,213,81,8,1,6,0.001,8,2,2,0.001,0.001,0.001,0.001,5,L2,NA,NA,NA,NA
JR375,Grotte aux Loups,VC,185,127,19,0.001,19,0.001,6,0.001,1,0.001,0.001,0.001,0.001,0.001,L2,NA,NA,NA,NA
JR38,carrière de Bons,VS,209,0.001,0.001,1,429,2,10,19,1,6,119,0.001,3,0.001,L5,4.75356255839547,0.47549532032367,0.103137169576671,2.59716687419436
JR39,torrent de Saxel,BM,288,11,1,10,157,1,3,1,1,3,2,0.001,2,0.001,L5,2.94530103848222,0.669382178809438,0.569258295154298,3.06517918129067
JR4,carrière de Bons,VS,248,3,1,25,301,0.001,3,61,11,7,82,0.001,0.001,0.001,L5,4.12951908525835,0.535462472921341,-0.271383622771233,3.63746604153148
JR40,torrent de Saxel,BM,264,43,7,7,111,1,6,1,0.001,1,4,1,2,7,L2,1.8756671477447,0.560880793646979,-1.10584041720958,9.81846158230983
JR41,torrent de Saxel,BM,303,10,5,7,165,2,3,2,10,4,4,1,1,5,L4,NA,NA,NA,NA
JR42,torrent de Saxel,BM,278,20,6,9,96,1,1,2,4,2,6,3,0.001,2,L2,2.79454873732256,0.813530185469056,-0.12216595849214,5.49474321050418
JR43,Supersaxel,BM,252,5,1,35,162,0.001,8,4,6,55,24,14,14,2,L4,NA,NA,NA,NA
JR45,carrière inférieure de Saxel,VS,196,72,14,22,125,0.001,7,4,0.001,9,2,1,13,0.001,L5,NA,NA,NA,NA
JR47,la Salle 1,VC,196,53,11,1,0.001,0.001,4,0.001,1,0.001,0.001,0.001,0.001,13,L1,1.43865418940457,0.974558456774592,-0.85886358952602,4.29828677685827
JR48,route des Monastères,VS,208,75,12,15,162,0.001,5,5,2,1,26,5,3,2,L4,2.34179244229428,0.59901400160075,-0.3860065519007,4.29726661845467
JR5,carrière de Bons,VS,285,0.001,4,10,333,0.001,20,19,15,18,50,0.001,3,0.001,L5,4.13156970300812,0.477963655495304,0.729409969207392,4.28658263991778
JR51,Crête des Voirons 1,VS,248,40,4,26,283,0.001,4,1,1,1,6,3,2,4,L4,NA,NA,NA,NA
JR53,torrent de Saxel,BM,230,68,13,14,113,1,9,1,0.001,1,3,0.001,0.001,4,L2,NA,NA,NA,NA
JR54,torrent de Saxel,BM,272,48,4,11,98,1,14,0.001,2,1,1,0.001,3,23,L2,2.51549712220722,0.687302166390321,-0.394806872359235,3.88880816953081
JR55,torrent de Saxel,BM,303,0.001,0.001,1,163,1,8,5,4,1,0.001,0.001,0.001,9,L5,NA,NA,NA,NA
JR57,torrent de Saxel,BM,271,30,2,10,109,0.001,23,0.001,1,0.001,0.001,0.001,0.001,0.001,L2,NA,NA,NA,NA
JR58,Saxel Eglise,VC,195,115,14,0.001,0.001,0.001,3,0.001,0.001,0.001,0.001,0.001,0.001,24,L1,1.09300821810918,0.725943327263969,-0.46089747258401,3.87415599362224
JR59,la Salle 2,VC,183,100,11,0.001,0.001,0.001,2,0.001,0.001,0.001,0.001,0.001,0.001,16,L1,1.35889493183582,0.950829972499316,-0.355055989680827,3.45960865939813
JR6,carrière de Bons,VS,267,23,18,12,176,0.001,2,43,1,1,12,2,1,0.001,L5,3.36557135033752,0.729464760784624,-0.423564078387693,3.00732742693802
JR60,D20 - Bovet/Rollin,BM,288,14,3,11,206,1,4,2,17,6,6,1,1,12,L4,3.04494551755262,0.540186588097416,0.467922878112022,3.82982536723732
JR61,D20 - Bovet/Rollin,BM,255,2,1,5,182,5,0.001,3,8,5,5,8,1,1,L4,3.02668705813482,0.628135287627476,0.185320427402712,2.63485938429827
JR62,D20 - Bovet/Rollin,BM,282,15,2,14,137,0.001,1,1,1,5,5,2,0.001,4,L2,2.6535631422751,0.651937603081931,0.486234209006532,3.42641448862883
JR63,torrent Chez le Merizier,BM,273,18,2,10,151,0.001,2,3,5,5,8,6,3,6,L4,NA,NA,NA,NA
JR64,ruisseau du Rafort,VC,98,218,9,1,65,1,4,0.001,0.001,0.001,2,2,0.001,3,L2,1.30842079693883,0.925098528086562,-0.454786402435413,3.61070357502592
JR65,torrent de Saxel,BM,270,2,7,25,195,2,4,4,3,26,11,4,1,0.001,L5,3.31799827527918,0.687125031003513,0.152274904982921,3.61279252855826
JR66,torrent de Saxel,BM,271,34,3,16,172,0.001,7,1,2,13,8,4,1,3,L4,2.6530622771313,0.719235243849523,0.225872519246036,2.79974387326045
JR67,torrent de Saxel,BM,289,4,3,14,206,0.001,9,0.001,10,23,13,4,0.001,10,L2,NA,NA,NA,NA
JR68,torrent de Saxel,BM,264,23,3,27,108,1,2,1,5,14,12,2,2,0.001,L5,2.78970360875881,0.538417657757218,0.489336322427739,4.27333386615807
JR69,torrent de Saxel,BM,289,9,5,11,145,3,9,6,5,3,6,1,1,7,L4,3.11368304809655,0.788988072330418,0.295113429599262,3.08926922266753
JR7,carrière de Bons,VC,244,41,25,26,306,0.001,13,1,1,8,52,3,3,1,L4,3.40829695266308,0.806165354216506,0.0360960140676704,3.30118653928349
JR70,torrent de Saxel,BM,274,14,6,17,162,1,8,7,8,8,7,5,1,0.001,L5,3.20937884455499,0.62916408332315,0.136108163178036,3.12339672817818
JR71,torrent de Saxel,BM,292,15,0.001,4,141,0.001,2,0.001,0.001,0.001,2,0.001,0.001,0.001,L2,3.14030749742543,0.617589846071736,0.687703713794359,3.65022694445988
JR72,torrent de Saxel,BM,294,9,2,0.001,161,1,7,2,0.001,6,5,3,0.001,1,L2,NA,NA,NA,NA
JR73,torrent de Saxel,BM,300,15,2,20,122,1,4,1,0.001,1,5,0.001,1,2,L2,NA,NA,NA,NA
JR74,torrent de Saxel,BM,293,21,6,14,155,0.001,4,5,2,3,7,1,1,4,L4,2.50681436804967,0.587491535269153,0.201247496803761,2.73587987402658
JR75,route de Supersaxel,BM,296,7,1,7,151,1,1,2,3,4,6,2,1,0.001,L5,NA,NA,NA,NA
JR76,route de Supersaxel,BM,269,35,4,4,74,0.001,2,0.001,1,4,2,2,0.001,0.001,L2,2.3621904380896,0.878062427629801,0.631015321734843,3.43422451047511
JR77b,torrent de Supersaxel,BM,301,0.001,3,3,171,0.001,6,6,2,16,5,5,1,4,L5,NA,NA,NA,NA
JR78,torrent de Supersaxel,BM,300,9,1,8,140,0.001,3,3,6,13,4,8,1,2,L4,3.2883371126009,0.638708581458122,0.089459741118429,2.52604582657835
JR79,torrent de Supersaxel,BM,310,2,3,9,141,3,3,1,6,17,14,8,0.001,1,L2,NA,NA,NA,NA
JR8,carrière de Bons,VS,306,0.001,0.001,15,277,0.001,11,45,17,3,15,0.001,0.001,0.001,L5,4.45353091786156,0.448432023981181,-0.288960990217321,3.264037770905
JR80,la Parire,VC,238,119,17,0.001,0.001,0.001,6,0.001,0.001,0.001,0.001,0.001,0.001,18,L1,0.948407801978974,1.09014722558636,-0.766053127858295,2.94344009721493
JR84,route des Monastères,VS,236,57,16,10,126,0.001,7,2,0.001,2,9,7,3,9,L4,2.02329198419684,0.758359070902233,-0.0175404043215821,2.74223280779984
JR85,route des Monastères,VS,247,36,13,5,117,1,12,5,0.001,5,6,0.001,3,10,L2,NA,NA,NA,NA
JR86,route des Monastères,VC,169,137,23,0.001,114,1,7,3,2,2,18,3,4,0.001,L5,NA,NA,NA,NA
JR87,route des Monastères,VS,285,14,2,25,255,0.001,6,9,1,19,26,0.001,3,25,L5,NA,NA,NA,NA
JR88,Conglomérat du Signal,VS,259,26,18,0.001,0.001,0.001,4,5,0.001,0.001,0.001,0.001,0.001,59,L1,NA,NA,NA,NA
JR89,route des Monastères,VS,276,22,6,0.001,1,2,5,3,0.001,1,0.001,0.001,0.001,55,L2,NA,NA,NA,NA
JR9,carrière de Bons,VS,226,0.001,1,17,284,1,0.001,9,3,20,47,1,0.001,0.001,L5,3.71443443045235,0.52428472095135,0.199226209414929,3.01208445779725
JR90,le Planet,VS,278,27,9,0.001,0.001,0.001,7,1,0.001,0.001,0.001,0.001,0.001,58,L1,1.58845162306222,0.890143168171487,0.461236620755255,2.70467776949947
JR91,le Planet,VS,287,12,4,5,30,0.001,0.001,0.001,0.001,0.001,1,0.001,0.001,69,L2,NA,NA,NA,NA
JR92,le Planet,VS,285,14,6,0.001,0.001,0.001,1,2,0.001,0.001,0.001,0.001,0.001,86,L1,1.93263430260694,0.609637029216533,0.136917299929799,2.74937811055114
JR94,torrent de Curseilles,VC,171,102,10,0.001,7,0.001,3,0.001,1,0.001,1,0.001,1,3,L2,0.806653670864616,1.02272186572524,-0.704886974960889,3.13673238369304
JR95,torrent de Curseilles,VC,215,81,11,0.001,39,0.001,1,1,0.001,0.001,2,0.001,0.001,12,L2,1.49069324123562,0.925798586341535,-0.831813006063101,4.28635900568425
JR96,torrent de Curseilles,VC,192,74,12,0.001,65,0.001,1,0.001,0.001,0.001,1,0.001,0.001,26,L2,0.292940749865455,0.868585944260636,-0.561746942943984,2.32855165842781
JR97,torrent de Curseilles,VS,247,46,10,9,146,0.001,3,5,2,3,11,0.001,1,6,L5,NA,NA,NA,NA
JR98,torrent de Curseilles,VC,233,54,21,1,116,0.001,6,3,3,0.001,0.001,0.001,0.001,1,L2,2.39445916618716,0.798306514174678,0.978166444839406,4.81571292881032
JR99,torrent de Curseilles,VC,205,80,20,0.001,24,0.001,1,0.001,2,0.001,0.001,0.001,0.001,31,L2,NA,NA,NA,NA
