################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS garnet geochemistry from the Voirons Flysch. Data include element and calculated oxide composition and enb-member abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,provenance,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr.1,F,Er,Re,Ho,Ag,Bi,Tl,Sr,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,BaO,Cs2O,ZnO,Cr2O3,NiO,Almandine,Andradite,Grossular,Pyrope,Spessartine,Uvarovite
JR349,quartzose,Alm,0,18.26,4.24,15.88,30.28,10.75,0,0,0,28.58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1665840211739,0,19.5316193575086,23.9338669590654,0,4.57688304562465,9.79104661662753,0,0,0,0,0,49.8624554061,0,30.3802563051,19.7572882888,0,0
JR349,quartzose,Alm,91.09,16.53,8.33,16.53,29.8,7.51,0,0,2.03,29.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0195060686911,0,19.6066555284904,23.4606314003425,1.64540693796008,8.671452930743,6.59634713377294,0,0,0,0,0,42.6459718919,7.0423196501,11.9110236338,34.6632599535,3.7374248707,0
JR349,quartzose,Alm,90.13,21.65,0,14.18,26.09,0,0,0,0,47.59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8052338735067,0,18.6280614557616,42.5667046707317,0,0,0,0,0,0,0,0,100,0,0,0,0,0
JR349,quartzose,Alm,90.46,23.81,0,14.85,28.36,10.77,0,0,0,36.17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3577842577885,0,18.6647744688759,30.9533526765131,0,0,10.0240885968225,0,0,0,0,0,67.8687999544,1.2802085935,30.850991452,0,0,0
JR349,quartzose,Alm,90.61,21.56,3.14,15.92,30.85,7.57,0,0,0,34.12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.367779613352,0,19.3107350160889,28.1791350112075,0,3.34273226726202,6.79961809208962,0,0,0,0,0,64.0655856138,0,21.3396004373,14.5948139489,0,0
JR349,quartzose,Alm,89.84,24.5,2.07,15.63,28.54,6.32,0,0,0,33.74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7415423663759,0,20.1905759051772,29.675476504711,0,2.34680107577568,6.04560414796019,0,0,0,0,0,72.0536161463,0,18.1464454534,9.7999384003,0,0
JR349,quartzose,Alm,90.07,23.91,4.7,15.47,26.72,12.28,0,0,0,26.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4017150297976,0,20.1485682451178,23.2336831614584,0,5.37239503882771,11.8436385247985,0,0,0,0,0,44.7958504005,4.9926022292,28.8527426206,21.3588047496,0,0
JR349,quartzose,Alm,90.51,25.3,5.04,17.94,29.72,8.66,0,0,0,24.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4232625486007,0,22.6179324903594,21.2970829934985,0,5.57669901824304,8.08502294929836,0,0,0,0,0,54.5610497269,0,23.1878461581,22.251104115,0,0
JR349,quartzose,Alm,89.58,18.5,2.55,17.89,26.12,6.56,0,0,0,26.77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6304421143594,0,24.5789836743377,25.0417598311648,0,3.07475109939422,6.67406328074389,0,0,0,0,0,68.0233143999,0,19.4868539891,12.4898316111,0,0
JR349,quartzose,Alm,90.58,16.1,0,17.86,26.92,6.71,0,0,0,38.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.459786099048,0,22.5366037403803,32.7336838824083,0,0,6.26992627816345,0,0,0,0,0,81.4718509604,0,18.5281490396,0,0,0
