################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS tourmaline geochemistry from the Voirons Flysch. Data include element and calculated oxide composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Fe,Na,Ca,Ag,As,Ba,C,Cd,Co,Cr,Cs,Cu,Dy,Eu,Ga,Ge,Hf,I,Ir,K,La,Lu,Nb,Os,P,Pr,Re,Rh,Ru,Sb,Sc,Sm,Sr,Tb,Te,Th,Ti,U,V,Y,Yb,Zn,Zr
JR349,dravite,"93,21","36,05","11,18","29,74","32,6","4,07",0,"2,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,dravite,"93,4","30,97","10,85","31,44","26,16","3,08",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,25",0,0,0,0,0,0,0,"2,14",0,0,0
JR349,dravite,"92,96","26,72","9,22","31,36","32,54","3,21",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,31",0,0,0,0,0,"2,19",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,24",0,0,0,0,0,0,0,0
JR349,dravite,"92,91","34,12","8,67","31,08","29,18","4,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,dravite,"94,74","34,68","7,46","36,03","29,11","2,02","4,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,dravite,"93,56","34,78","10,06","33,17","29,26",0,"3,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,dravite,"94,84","33,84","10,43","34,14","30,05","2,57","2,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,dravite,"94,16","33,13","11,79","31,62","28,73","4,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,dravite,"94,13","29,99","9,92","36,23","28,98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,93",0,0
JR331,tourmaline,"93,89","34,3","6,14","34,22","27,68","7,33","3,97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,56",0,0,0,0,0
JR331,tourmaline,"93,35","32,33","7,23","30,95","31,1","6,96",0,0,0,0,0,0,0,0,0,0,"2,88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,86",0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,tourmaline,"94,37","32,72","6,59","35,72","31,75","6,97","3,91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,tourmaline,"91,68","32,12","6,54","27,31","26,6","19,53",0,"2,06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,tourmaline,"93,64","34,27","5,73","36,34","27,33","6,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,63",0,0,0,"4,21",0,0,0,0,0,0,0,0,0
JR331,tourmaline,"92,23","34,05","8,58","29,95","28,74","7,35",0,"5,61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR331,tourmaline,"93,97","34,92","5,49","35,47","29,29","7,87","2,44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
