################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition of the Voirons Flysch following the Gazzi-Dickinson method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
################# Abbreviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mineral abbreviations are based on the compilation of Whitney and Evans (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# unit: VS = Voirons Sandstone Fm., VC = Vouan Conglomerate Fm., BM = Boëge Marl Fm., BS = Bruant Sandstone Fm., AS = Allinges Sandstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Quartz: Qms = single monocrytalline quartz, Qps = non tectonised polycrystalline quartz, QpT = tectonised polycrystalline quartz, Qr = quartz in rock-fragments (m=metamorphic, g=plutonic, v=volcanic)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Feldpars: Ks = single K-feldspar, Kr = K-feldspar in rock-fragments, An = anorthite Anr = anorthite in rock fragments, Ab = albite, Abr = albite in rock-fragments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Lithics: Lci = mudstone to wackestone fragments, Lch = chert, Lmf(1-5) = metapsammite/metafelsite grains, Lmp(1-5) = metapelite grains, Lmb1 = metabasite grains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# C = calcite cement, Bc = total carbonate bioclast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# D = dense minerals, M = micas, Chl = chlorite, Glt = glauconite, Op = opaque grains, Ph = phosphate, Si = silice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pore = porosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,dickinson,Qms,Qps,QpT,Qrv,Qrm,Qrg,Ks,Krv,Krg,Krm,An,Anrv,Anrg,Anrm,Ab,Abrg,Abrv,Abrm,Lci,Ls,Lch,Lv,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,C,D,M,Chl,Glt,Op,Ph,Si,Bc,Pore
JR16,carrière supérieure de Saxel,VS,317,56,30,7,0,0,41,41,0,11,0,37,0,54,0,3,3,0,0,1,0,6,8,0,1,0,2,0,2,0,0,0,0,0,5,0,9,0,1,0,0,0,0,16
JR17a,carrière supérieure de Saxel,VS,330,165,8,0,0,0,9,34,0,0,0,45,0,9,0,12,1,0,0,19,0,4,3,0,0,0,0,0,0,0,0,0,0,0,223,1,3,0,4,2,5,0,5,0
JR18,carrière supérieure de Saxel,VS,328,57,27,4,0,0,52,30,0,26,0,44,1,38,1,5,2,0,0,3,0,1,12,0,0,0,0,1,0,0,0,0,0,0,51,0,11,0,0,0,0,0,0,17
JR19,carrière supérieure de Saxel,VS,300,68,25,3,0,0,47,4,0,0,3,40,7,20,1,8,4,0,0,12,0,1,12,0,0,0,0,2,0,0,1,0,0,0,126,0,3,0,2,1,0,0,19,7
JR20a,carrière supérieure de Saxel,VS,323,59,8,0,0,0,21,30,6,14,0,81,0,21,0,5,2,0,0,1,0,15,11,0,0,0,0,0,0,0,0,0,0,0,135,1,12,1,2,0,0,0,1,3
JR21,carrière supérieure de Saxel,VS,320,86,11,1,1,0,40,63,1,41,0,33,0,6,0,3,1,0,0,20,2,6,3,0,0,0,0,0,0,0,0,0,0,0,126,0,13,0,6,0,1,0,21,10
JR22,Allinges,AS,318,164,41,1,0,0,4,34,0,1,0,47,0,4,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,8,1,0,0,0,55
JR23,Allinges,AS,331,168,22,0,0,0,3,60,0,0,0,44,0,5,0,9,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,170,0,10,0,15,2,0,0,8,6
JR24,Allinges,AS,236,83,86,1,0,0,9,21,0,0,0,18,0,12,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,0,0,0,0,1,83
JR25,Allinges,AS,188,69,59,2,0,0,7,22,0,0,0,13,0,8,2,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,1,1,0,0,0,0,1,22
JR26,Allinges,AS,365,167,79,0,0,0,35,16,0,17,0,34,0,6,0,3,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4,0,2,1,0,0,6,35
JR32,torrent de Saxel,BM,333,209,21,0,0,0,6,27,0,0,0,32,0,7,0,3,0,0,0,22,0,4,1,0,0,0,0,0,0,0,0,0,0,0,178,1,4,0,5,0,1,0,11,0
JR36,carrière inférieure de Saxel,VS,326,137,23,1,1,0,26,35,0,3,0,21,2,25,0,0,0,0,0,15,0,8,6,0,0,0,0,0,0,0,0,0,0,0,76,0,4,0,0,0,0,0,17,27
JR37,carrière inférieure de Saxel,VS,335,165,34,1,0,0,24,34,0,0,0,26,0,25,3,0,2,0,0,12,2,2,4,0,0,0,1,0,0,0,0,0,0,0,109,0,0,0,2,0,2,0,20,8
JR38,carrière de Bons,VS,210,180,0,0,0,0,0,21,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,2,10,0,19,1,6,0,122,0
JR39,torrent de Saxel,BM,310,199,14,0,0,0,6,36,0,0,0,38,0,5,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,157,1,3,0,1,1,3,0,4,0
JR40,torrent de Saxel,BM,321,148,50,0,0,0,20,16,0,2,0,44,2,18,0,6,1,0,0,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,111,1,6,0,1,0,1,0,7,7
JR41,torrent de Saxel,BM,325,237,10,0,0,0,4,17,0,1,0,36,0,5,0,0,0,0,0,7,0,0,4,1,0,0,0,0,0,0,0,0,0,0,165,2,3,0,2,8,4,2,6,5
JR42,torrent de Saxel,BM,313,229,3,1,0,0,9,23,0,5,0,22,0,6,0,0,0,0,0,9,1,4,0,0,0,0,0,0,0,1,0,0,0,0,96,1,1,0,2,4,2,0,9,2
JR43,Supersaxel,BM,293,160,9,0,0,0,3,42,0,1,0,41,0,1,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,162,0,8,0,4,6,55,0,52,2
